Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,86.129997,86.309998,85.500000,85.949997,83.539680,22483800
2018-01-03,86.059998,86.510002,85.970001,86.349998,83.928474,26061400
2018-01-04,86.589996,87.660004,86.570000,87.110001,84.667145,21912000
2018-01-05,87.660004,88.410004,87.430000,88.190002,85.716881,23407100
2018-01-08,88.199997,88.580002,87.599998,88.279999,85.804337,22113000
2018-01-09,88.650002,88.730003,87.860001,88.220001,85.746025,19484300
2018-01-10,87.860001,88.190002,87.410004,87.820000,85.357239,18652200
2018-01-11,88.129997,88.129997,87.239998,88.080002,85.609947,17808900
2018-01-12,88.669998,89.779999,88.449997,89.599998,87.087334,24271500
2018-01-16,90.099998,90.790001,88.010002,88.349998,85.872368,36599700
2018-01-17,89.080002,90.279999,88.750000,90.139999,87.612183,25621200
2018-01-18,89.800003,90.669998,89.660004,90.099998,87.573303,24159700
2018-01-19,90.139999,90.610001,89.660004,90.000000,87.476105,36875000
2018-01-22,90.000000,91.620003,89.739998,91.610001,89.040962,23601600
2018-01-23,91.900002,92.300003,91.540001,91.900002,89.322823,23412800
2018-01-24,92.550003,93.430000,91.580002,91.820000,89.245064,33277500
2018-01-25,92.470001,93.239998,91.930000,92.330002,89.740768,26383200
2018-01-26,93.120003,94.059998,92.580002,94.059998,91.422256,29172200
2018-01-29,95.139999,95.449997,93.720001,93.919998,91.286179,31569900
2018-01-30,93.300003,93.660004,92.099998,92.739998,90.139259,38635100
2018-01-31,93.750000,95.400002,93.510002,95.010002,92.345612,48756300
2018-02-01,94.790001,96.070000,93.580002,94.260002,91.616646,47227900
2018-02-02,93.639999,93.970001,91.500000,91.779999,89.206184,47867800
2018-02-05,90.559998,93.239998,88.000000,88.000000,85.532188,51031500
2018-02-06,86.889999,91.480003,85.250000,91.330002,88.768806,67998600
2018-02-07,90.489998,91.769997,89.199997,89.610001,87.097038,41107600
2018-02-08,89.709999,89.879997,84.760002,85.010002,82.626045,55628700
